#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.046511627906976744
Rlip	2	0	0.09080841638981174
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.046511627906976744
Arp3	2	0	0.046511627906976744
Arpc1	1	0	0.0
chic	4	0	0.2945736434108527
Ced-12	1	0	0.0
mbc	4	0	0.42857142857142855
Crk	3	0	0.1760797342192691
blow	1	0	0.0
drk	2	0	0.09080841638981174
GEFmeso	2	0	0.3388704318936877
Rac1	9	0	0.8283499446290143
Rala	3	0	0.3266888150609081
Hem	1	0	0.0
SCAR	2	0	0.046511627906976744
Pak	2	0	0.17275747508305647
dock	3	0	0.13510520487264674
Pak3	1	0	0.0
PlexB	2	0	0.13289036544850497
Sema2a	2	0	0.09080841638981174
Sec5	3	0	0.17718715393133996
Rac2	1	0	0.0
WASp	1	0	0.0
Whamy	1	0	0.0
Rho1	3	0	0.09191583610188261
Rok	1	0	0.0
capu	2	0	0.13289036544850497
sqh	1	0	0.0
beta-Spec	2	0	0.046511627906976744
wbl	2	0	0.046511627906976744
Sos	2	0	0.046511627906976744
sls	1	0	0.0
Vrp1	1	0	0.0
alpha-Spec	1	0	0.0
dia	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.13510520487264674
rols	2	0	0.17275747508305647
sns	2	0	0.046511627906976744
pip	1	0	0.0
rst	1	0	0.0
