#node	degree	clustering	betweenness_centrality
Ced-12	1	0	0.0
mbc	3	0	0.16934046345811052
Crk	2	0	0.058823529411764705
rols	4	0	0.4474153297682709
beta-Spec	1	0	0.0
alpha-Spec	2	0	0.058823529411764705
rst	2	0	0.058823529411764705
hbs	3	0	0.5258467023172905
sns	1	0	0.0
Vrp1	2	0	0.2994652406417112
WASp	3	0	0.26916221033868093
dock	3	0	0.6613190730837789
dia	1	0	0.0
Rac2	3	0	0.11586452762923351
kirre	2	0	0.42780748663101603
sls	2	0	0.1140819964349376
Rho1	2	0	0.058823529411764705
Rok	3	0	0.16934046345811052
sqh	1	0	0.0
blow	1	0	0.0
ps	2	0	0.058823529411764705
Whamy	2	0	0.1140819964349376
pip	1	0	0.0
Pak3	1	0	0.0
Rac1	5	0	0.5276292335115864
Pak	2	0	0.47058823529411764
Arp3	2	0	0.058823529411764705
SCAR	2	0	0.1140819964349376
Hem	2	0	0.058823529411764705
Arpc1	1	0	0.0
Rab11	1	0	0.0
siz	1	0	0.0
Arf51F	2	0	0.058823529411764705
drk	1	0	0.0
Arf79F	1	0	0.0
