#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.05555555555555555
siz	1	0	0.0
sls	2	0	0.10793650793650794
Arf79F	2	0	0.05555555555555555
Rab11	1	0	0.0
Sra-1	5	0	0.6396825396825396
Arp3	2	0	0.05555555555555555
Arpc1	1	0	0.0
drk	6	0	0.734920634920635
Ced-12	2	0	0.24603174603174602
mbc	3	0	0.20952380952380953
Crk	2	0	0.05555555555555555
blow	1	0	0.0
Hem	1	0	0.0
Pak	1	0	0.0
Rac1	7	0	0.30952380952380953
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	1	0	0.0
Whamy	1	0	0.0
dia	1	0	0.0
Rho1	2	0	0.05555555555555555
Rok	2	0	0.10793650793650794
sqh	1	0	0.0
SCAR	2	0	0.24603174603174602
dock	5	0	0.2126984126984127
Sos	2	0	0.15714285714285714
Vrp1	1	0	0.0
alpha-Spec	2	0	0.10793650793650794
beta-Spec	2	0	0.15714285714285714
por	2	0	0.05555555555555555
hbs	1	0	0.0
rst	1	0	0.0
sns	1	0	0.0
kirre	1	0	0.0
rols	2	0	0.05555555555555555
pip	1	0	0.0
