#node	degree	clustering	betweenness_centrality
Arf51F	2	0	0.045454545454545456
Arfip	2	0	0.08879492600422834
siz	1	0	0.0
Arf79F	1	0	0.0
Rab11	2	0	0.045454545454545456
Rac1	6	0	0.492600422832981
Arp3	2	0	0.045454545454545456
Arpc1	1	0	0.0
chic	3	0	0.1321353065539112
Ced-12	1	0	0.0
mbc	3	0	0.2463002114164905
Crk	3	0	0.3118393234672305
Egfr	5	0	0.7484143763213531
blow	1	0	0.0
Src42A	2	0	0.3594080338266385
dock	3	0	0.48942917547568715
sty	2	0	0.16913319238900634
Hem	1	0	0.0
SCAR	2	0	0.045454545454545456
Mbs	2	0	0.08879492600422834
Rho1	2	0	0.045454545454545456
flw	4	0	0.28964059196617337
Pak	2	0	0.4439746300211417
Pak3	1	0	0.0
Rac2	1	0	0.0
WASp	3	0	0.1321353065539112
Raf	2	0	0.08879492600422834
RpS18	2	0	0.045454545454545456
drk	2	0	0.13002114164904863
Rok	1	0	0.0
pip	1	0	0.0
Sos	3	0	0.3414376321353066
sls	1	0	0.0
Vrp1	1	0	0.0
Whamy	1	0	0.0
alpha-Spec	2	0	0.045454545454545456
beta-Spec	1	0	0.0
kst	2	0	0.08879492600422834
dia	1	0	0.0
sqh	1	0	0.0
hbs	1	0	0.0
kirre	3	0	0.1321353065539112
rols	2	0	0.16913319238900634
sns	2	0	0.045454545454545456
rst	1	0	0.0
